Specific_Name,UUID,Name (en),Name_Similarity,Year_Match,Unit_Match,Final_Score
"Hochlochziegel mineralisch gefüllt, ohne Mörtel / Kleb.",8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Holzdielenboden - unproblem. Beschichtet,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
"Innentür (Pappe mit Wabenstruktur), Fl.gew.8 kg/m², laminiert oder lackiert ",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.15175183057986522,1,1,0.3607007322319461
"Innentür (Röhrenspanplatte), Fl.gew.15 kg/m², laminiert oder lackiert ",b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.1656512197320174,1,1,0.36626048789280696
"Innentür (Röhrenspanstreifen), Fl.gew.12 kg/m², laminiert oder lackiert ",b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.16674778253722353,1,1,0.36669911301488944
"Innentür (Vollspanplatte), Fl.gew.23 kg/m², laminiert oder lackiert",b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.16481858337044816,1,1,0.3659274333481793
"Innentür (Vollspanplatte), Fl.gew.34 kg/m², laminiert oder lackiert",896ea45c-a831-46a4-883f-d4bb4f1d661e,Biogas (1 kg),0.15942572169324346,1,1,0.3637702886772974
"Innentür Massivholz, lackiert, Fl.gewicht 12 kg/m²",b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.19182523260604048,1,1,0.3767300930424162
"Innentür Massivholz, unbehandelt oder geölt, Fl.gew. 12 kg/m²",b1052ab1-97a9-45a1-810a-cdd0a3b1f07a,Biogas (1 kg),0.16092460226945365,1,1,0.36436984090778146
Leichtputz mineralisch (mineral. Untergrund),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Silikat-Dispersionsputz (mineral. Untergrund),8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Silikatputz,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
Silikonharzputz,8f4e4fdb-fa6c-46b3-8680-57120c4bee5e,"Cement (CEM III 42,5)",0.0,1,1,0.30000000000000004
