Specific_Name,Matched_Generic_Name,Generic_UUID,Score,Normalized_Score
Asphalttragschicht - Hochbau,Asphalt surface layer,d84cbf6a-0a50-426f-aa3d-c45918b43575,0.6347115635871887,0.7768491765754767
Asphalttragschicht - Hochbau,Asphalt surface layer,d84cbf6a-0a50-426f-aa3d-c45918b43575,0.6347115635871887,0.7768491765754767
Asphalttragschicht - Hochbau,Asphalt surface layer,d84cbf6a-0a50-426f-aa3d-c45918b43575,0.6347115635871887,0.7768491765754767
"Balkenschichtholz Nadelholz - unbeschichtet, naturbelassen",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.4229274094104767,0.3172790810637808
"Balkenschichtholz Nadelholz - unbeschichtet, naturbelassen",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.4229274094104767,0.3172790810637808
"Balkenschichtholz Nadelholz - unbeschichtet, naturbelassen",eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.4229274094104767,0.3172790810637808
Brettsperrholz,Gypsum (CaSO4 beta hemihydrate),ee840270-3055-428a-b38d-e7727426cc35,0.2935361862182617,0.03650105481350453
Brettsperrholz,Gypsum (CaSO4 beta hemihydrate),ee840270-3055-428a-b38d-e7727426cc35,0.2935361862182617,0.03650105481350453
Brettsperrholz,Gypsum (CaSO4 beta hemihydrate),ee840270-3055-428a-b38d-e7727426cc35,0.2935361862182617,0.03650105481350453
Konstruktionsvollholz - naturbelassen,eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.37885817885398865,0.2216491668489845
Konstruktionsvollholz - naturbelassen,eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.37885817885398865,0.2216491668489845
Konstruktionsvollholz - naturbelassen,eLCA Luftschicht (gemäß EN 15804+A2),1d0124d4-5a30-4501-a8dd-dbddbb1f8ec7,0.37885817885398865,0.2216491668489845
Beton - Carbonfasern / Textilbeton ,Carbon dioxide (R744),a5bb6444-74e1-43f7-8e7d-55aed1ac1b6e,0.39375612139701843,0.2539775953097613
Beton - Carbonfasern / Textilbeton ,Carbon dioxide (R744),a5bb6444-74e1-43f7-8e7d-55aed1ac1b6e,0.39375612139701843,0.2539775953097613
Beton - Carbonfasern / Textilbeton ,Carbon dioxide (R744),a5bb6444-74e1-43f7-8e7d-55aed1ac1b6e,0.39375612139701843,0.2539775953097613
Bitumenbahnen mit Alu oder Kupfer,"Bitumen emulsion (40% bitumen, 60% water)",a6b26cf9-3f9a-4abc-9412-87fdc0cdf3f6,0.47359350323677063,0.42722414125712194
Bitumenbahnen mit Alu oder Kupfer,"Bitumen emulsion (40% bitumen, 60% water)",a6b26cf9-3f9a-4abc-9412-87fdc0cdf3f6,0.47359350323677063,0.42722414125712194
Bitumenbahnen mit Alu oder Kupfer,"Bitumen emulsion (40% bitumen, 60% water)",a6b26cf9-3f9a-4abc-9412-87fdc0cdf3f6,0.47359350323677063,0.42722414125712194
Polymer-Bitumenabdichtungsbahn,5.3.01. Plastic-modified bitumen thick coating,85c48e5f-299c-463b-9aaf-da332a29dfe0,0.5916318297386169,0.6833664631195537
Polymer-Bitumenabdichtungsbahn,5.3.01. Plastic-modified bitumen thick coating,85c48e5f-299c-463b-9aaf-da332a29dfe0,0.5916318297386169,0.6833664631195537
Polymer-Bitumenabdichtungsbahn,5.3.01. Plastic-modified bitumen thick coating,85c48e5f-299c-463b-9aaf-da332a29dfe0,0.5916318297386169,0.6833664631195537
Elastomer-Dachbahnen,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.40584632754325867,0.28021325592839075
Elastomer-Dachbahnen,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.40584632754325867,0.28021325592839075
Elastomer-Dachbahnen,eLCA Luftschicht (gemäß EN 15804+A1),41c5627a-4a1d-4e12-ac62-c1d4f1560fb9,0.40584632754325867,0.28021325592839075
PIB-Dachbahnen (Polyisobutylen),Polybutadiene pipe,83a21998-b507-429e-bbe3-b5629e601138,0.51982581615448,0.5275479286807546
PIB-Dachbahnen (Polyisobutylen),Polybutadiene pipe,83a21998-b507-429e-bbe3-b5629e601138,0.51982581615448,0.5275479286807546
PIB-Dachbahnen (Polyisobutylen),Polybutadiene pipe,83a21998-b507-429e-bbe3-b5629e601138,0.51982581615448,0.5275479286807546
PP-/PE Folie,PE/PP fleece,95a4f4b3-b354-4e2c-9046-0a36175cd768,0.6232413053512573,0.7519587984755535
PP-/PE Folie,PE/PP fleece,95a4f4b3-b354-4e2c-9046-0a36175cd768,0.6232413053512573,0.7519587984755535
PP-/PE Folie,PE/PP fleece,95a4f4b3-b354-4e2c-9046-0a36175cd768,0.6232413053512573,0.7519587984755535
Blähglasgranulatplatte,Tetrafluoropropene (R1234ze),b3875fa1-4d62-40dc-ab2d-68fe1fbaf352,0.38834360241889954,0.2422324679493004
Blähglasgranulatplatte,Tetrafluoropropene (R1234ze),b3875fa1-4d62-40dc-ab2d-68fe1fbaf352,0.38834360241889954,0.2422324679493004
Blähglasgranulatplatte,Tetrafluoropropene (R1234ze),b3875fa1-4d62-40dc-ab2d-68fe1fbaf352,0.38834360241889954,0.2422324679493004
