Specific_Name,Matched_Generic_Name,Generic_UUID,Score
"Splitt 2/8, dauerelastisch gebunden (Latex, sonstige Polymere)","Joint sealing strips, polyisobutylene",98e0caab-5f0b-452f-a3d2-4e0256a799f3,0.43962326645851135
Splittschüttung mineral. geb.,Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.40026646852493286
Splittschüttung mineral. geb.,Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.40026646852493286
Splittschüttung mineral. geb.,Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.40026646852493286
Splittschüttung mineral. geb.,Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.40026646852493286
Splittschüttung mineral. geb.,Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.40026646852493286
Splittschüttung mineral. geb.,Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.40026646852493286
Splittschüttung mineral. geb.,Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.40026646852493286
Splittschüttung mineral. geb.,Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.40026646852493286
Splittschüttung mineral. geb.,Gypsum stone (CaSO4-Dihydrate),fbd76e49-0fb1-47e0-abba-903ce1272684,0.40026646852493286
