unmapped_generic_UUID,unmapped_generic_name,tbs_product_UUID,tbs_product_name,Name_Similarity,unmapped_generic_category,tbs_category_name,Category_Similarity,tbs_EOL_Scenario_Unbuilt_Real,tbs_EOL_Scenario_Unbuilt_Potential,tbs_EOL_Scenario_Technology_Factor,Final_Score
ffeaa284-6f4a-452d-81c9-de28ab3b1dd7,Strom-Mix-Szenario 2040,89ffc2cd-fb84-41df-9ebe-cda946ebf2bd,Strohdämmung,0.487,'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Strom',Strohballen,0.274,SV,SV,0.0,0.402
ffeaa284-6f4a-452d-81c9-de28ab3b1dd7,Strom-Mix-Szenario 2040,,Schilfrohrmatte (Putzträger),0.472,'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Strom',Schilfrohr,0.206,SV,RC+,0.5,0.366
ffeaa284-6f4a-452d-81c9-de28ab3b1dd7,Strom-Mix-Szenario 2040,ae5396d9-2952-4eae-b216-17d56758ece0,Stahlprofil verzinkt,0.354,'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Strom',Stahl - Stahl(blech) verzinkt,0.342,CL-,CL-,1.0,0.349
fe0f74c9-6966-404a-807a-684095e09a4a,PKW (Diesel) EURO 4,d3b59cac-3b4e-4d18-8c3a-780b553c9591,Porenbeton P4 05 bewehrt,0.41,'Sonstige' / 'Personen - Transporte[Personen km]' / 'PKW',Porenbeton - bewehrt,0.339,Dep+,RC-,0.75,0.381
fe0f74c9-6966-404a-807a-684095e09a4a,PKW (Diesel) EURO 4,2c076ee7-3853-4f69-9bf5-8ec265fa43e0,PIR Hartschaum (250 kg/m³),0.339,'Sonstige' / 'Personen - Transporte[Personen km]' / 'PKW',"KSTDämm (PUR, PIR)",0.405,EB,SV,0.25,0.365
fe0f74c9-6966-404a-807a-684095e09a4a,PKW (Diesel) EURO 4,fb68a5d1-82eb-4e36-b5bd-8db0f3ee7a6d,PUR/PIR Dämmstoff (32 kg/m³),0.332,'Sonstige' / 'Personen - Transporte[Personen km]' / 'PKW',"KSTDämm (PUR, PIR)",0.405,EB,SV,0.25,0.361
fdcb26f9-1f0c-4766-ad94-c093e5d259e1,Pumpen von 1 m³ Beton,906b4864-0511-480f-a8bc-7b8302efbf0b,"Porenbeton P2 04 unbewehrt, Rho 380 kg/m³",0.561,'Sonstige' / 'Baustellenprozesse' / 'Betonieren',Porenbeton - unbewehrt,0.223,Dep+,RC-,0.75,0.426
fdcb26f9-1f0c-4766-ad94-c093e5d259e1,Pumpen von 1 m³ Beton,1a43ae76-2dc9-4a3a-9926-47e7137e773d,"Porenbeton P4 05 unbewehrt, Rho 472 kg/m³",0.546,'Sonstige' / 'Baustellenprozesse' / 'Betonieren',Porenbeton - unbewehrt,0.223,Dep+,RC-,0.75,0.416
fdcb26f9-1f0c-4766-ad94-c093e5d259e1,Pumpen von 1 m³ Beton,601af947-1f14-474d-8233-780715a12268,Einblasdämmung Mineralwolle Rho 50 kg/m³,0.508,'Sonstige' / 'Baustellenprozesse' / 'Betonieren',Mineralwolle Glaswolle,0.242,Dep-,SV,0.75,0.402
fbfe5992-4cd4-4875-867d-5e89cb453e2c,Rohre für Strom-Wärmepumpe (Wasser-Wasser) 70 kW,1a43ae76-2dc9-4a3a-9926-47e7137e773d,"Porenbeton P4 05 unbewehrt, Rho 472 kg/m³",0.468,'Gebäudetechnik' / 'Heizung' / 'Wärmeerzeuger',Porenbeton - unbewehrt,0.293,Dep+,RC-,0.75,0.398
