unmapped_generic_UUID,unmapped_generic_name,tbs_product_UUID,tbs_product_name,Name_Similarity,unmapped_generic_category,tbs_category_name,Category_Similarity,tbs_EOL_Scenario_Unbuilt_Real,tbs_EOL_Scenario_Unbuilt_Potential,tbs_EOL_Scenario_Technology_Factor,Final_Score
e5667f83-7ece-4601-8cda-5af10216993a,"Nutzung - Gas Wärmepumpe Luft (70 kW, 0 °C, entspr. EnEV)",,"Holzrahmen PH mit Aludeckschale [kg/m² Rahmen] t=0,155 ohne HSM",0.325,'Gebäudetechnik' / 'Nutzung' / 'Nutzung Wärmeerzeuger (EnEV)',"Holz-Alu-Rahmen, Nachweis kein HSM",0.275,RC-,RC+,0.75,0.305
e26920b5-c0df-4feb-95a3-d6d38fe7871e,Flüssiggas,318f08e0-1b04-49eb-ab16-531482cd75da,Holz-Flügelrahmen,0.588,'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Flüssiggas',Holzrahmen,0.199,EV+,EV+,0.0,0.432
e26920b5-c0df-4feb-95a3-d6d38fe7871e,Flüssiggas,,Schafwolle (mit Flammschutzmittel),0.328,'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Flüssiggas',Schafwolle mit Flammschutzmittel,0.411,EV-,EV-,0.75,0.361
e26920b5-c0df-4feb-95a3-d6d38fe7871e,Flüssiggas,1da7a0ab-1204-4ee6-b8fe-77a28f642f0d,Brandschutzglas F30,0.348,'Sonstige' / 'Energieträger - Bereitstellung frei Verbraucher' / 'Flüssiggas',Brandschutzverglasung,0.346,RC-,RC+,0.5,0.348
e1f7f83b-6f6e-4ed8-a666-0d49682982e1,Abwasserrohr PVC,0e39587e-8c05-4a8e-80b5-bb9a57bbe164,PVC Plastisol,0.516,'Kunststoffe' / 'Rohre' / 'Abwasserrohre',"Bitumenkaltkleber, Glasvlies, Glasfaserarmierung,..",0.211,EB,EB,0.0,0.394
e1f7f83b-6f6e-4ed8-a666-0d49682982e1,Abwasserrohr PVC,9eae2fed-dba0-4641-b1cc-fd2cc65f2016,"Lehmputz, kunststofffaserarmiert",0.231,'Kunststoffe' / 'Rohre' / 'Abwasserrohre',"Lehmputz, kunststofffaserarmiert",0.595,Dep+,CL+,0.75,0.377
e1f7f83b-6f6e-4ed8-a666-0d49682982e1,Abwasserrohr PVC,e98995e0-f945-4fea-849f-cec0aff6cb0c,Kunstharzestrich,0.198,'Kunststoffe' / 'Rohre' / 'Abwasserrohre',Estrich SR - Kunstharzestrich,0.59,Dep-,Dep-,0.0,0.354
e1ccc83d-01d7-407a-ab59-8c3e1265e8cf,Gas-Niedertemperaturgerät < 20 kW (Standgerät),1a43ae76-2dc9-4a3a-9926-47e7137e773d,"Porenbeton P4 05 unbewehrt, Rho 472 kg/m³",0.518,'Gebäudetechnik' / 'Heizung' / 'Wärmeerzeuger',Porenbeton - unbewehrt,0.293,Dep+,RC-,0.75,0.428
e1ccc83d-01d7-407a-ab59-8c3e1265e8cf,Gas-Niedertemperaturgerät < 20 kW (Standgerät),906b4864-0511-480f-a8bc-7b8302efbf0b,"Porenbeton P2 04 unbewehrt, Rho 380 kg/m³",0.512,'Gebäudetechnik' / 'Heizung' / 'Wärmeerzeuger',Porenbeton - unbewehrt,0.293,Dep+,RC-,0.75,0.424
e1ccc83d-01d7-407a-ab59-8c3e1265e8cf,Gas-Niedertemperaturgerät < 20 kW (Standgerät),601af947-1f14-474d-8233-780715a12268,Einblasdämmung Mineralwolle Rho 50 kg/m³,0.443,'Gebäudetechnik' / 'Heizung' / 'Wärmeerzeuger',Mineralwolle Glaswolle,0.311,Dep-,SV,0.75,0.39
