oekobaudatProcessUuid,oekobaudatDatastockUuid,oekobaudatDatastockName,productId,tBaustoffVersion,productName,eolCategoryId,eolCategoryName,eolScenarioUnbuiltReal,eolScenarioUnbuiltPotential,technologyFactor
,,,250,2024-Q4,"Reaktionsharz auf Epoxidharzbasis, gefüllt",35,"Kleber (nicht-mineralisch: Kunstharzkleber,…)",EV-,EV-,0.0
,,,251,2024-Q4,Reaktionsharz auf Methacrylatharzbasis,35,"Kleber (nicht-mineralisch: Kunstharzkleber,…)",EV-,EV-,0.0
,,,252,2024-Q4,"Reaktionsharz auf Polyurethan-Basis, wässrig, lösemittelfrei",35,"Kleber (nicht-mineralisch: Kunstharzkleber,…)",EV-,EV-,0.0
,,,276,2024-Q4,Schüttung aus Polystyrolschaumstoff-Partikeln (ohne Bindemittel),37,EPS - Sz. Energet. Beseitig.,EV-,EV-,0.0
,,,65,2024-Q4,EPS-Hartschaumdämmung - Sz. RC als Schütt.,38,EPS - Sz. RC als Schütt.,EV-,SV,0.75
,,,68,2024-Q4,Expandierter Kork,39,Kork,EV-,RC+,0.75
,,,69,2024-Q4,XPS-Dämmstoff,40,XPS,EV-,RC+,0.25
,,,70,2024-Q4,Faserverstärkte Spachtelmasse,41,faserverstärkt,Dep-,Dep-,0.0
,,,71,2024-Q4,Faserzementplatte,42,Faserzement,Dep-,Dep-,0.0
,,,72,2024-Q4,Fassadenfarbe Dispersionsfarbe,43,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0.0
,,,73,2024-Q4,Fassadenfarbe Silikat-Dispersionsfarbe,43,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0.0
,,,74,2024-Q4,Fassadenfarbe Silikonharzfarbe,43,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0.0
,,,75,2024-Q4,Fassadenfarbe Voranstrich Dispersion,43,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0.0
,,,76,2024-Q4,Fassadenfarbe Voranstrich Silikat-Dispersion,43,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0.0
,,,85,2024-Q4,Flüssigkunststoffe zur Bauwerksabdichtung auf SMP-Basis,43,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0.0
,,,132,2024-Q4,Innenfarbe Dispersionsfarbe scheuerfest,43,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0.0
,,,145,2024-Q4,Kalkfarbe,43,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0.0
,,,326,2024-Q4,Voranstrich (Silikat-Dispersion),43,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0.0
,,,327,2024-Q4,Voranstrich (Silikonharz),43,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0.0
,,,330,2024-Q4,"Wasserdichte, flexible Schutzschicht unter keramischen Belägen in Duschen u Bäden",43,"Farben, sonstige Beschichtungen (mineral. Untergrund)",Dep-,Dep-,0.0
,,,77,2024-Q4,Fassadenklinker,44,Keramik - Fassade,RC+,RC+,1.0
,,,78,2024-Q4,Fensterglas einfach,45,Klarglas (Bestand),RC-,RC+,0.5
,,,79,2024-Q4,Feuerverzinktes Stahlblech,46,Stahl - Stahl(blech) verzinkt,CL-,CL-,1.0
