UUID;Name (de);Name (en);Kategorie (en);Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);GWP;ODP;POCP;AP;EP;Typ
45d181ba-c3c0-4ecb-bd94-7ad3aa7cef83;Öltank Polyamid (1500l);Oil tank polyamide (1500l);'Building service engineering' / 'Heating' / 'Storage';;;;;140.682436341105;4.38e-14;0.0105409051234593;0.182261736578995;0.0474391911169315;generic dataset
45d181ba-c3c0-4ecb-bd94-7ad3aa7cef83;Öltank Polyamid (1500l);Oil tank polyamide (1500l);'Building service engineering' / 'Heating' / 'Storage';;;;;-53.1892700396206;-1.3503e-12;-0.004633619963072;-0.0466025139030223;-0.0088858451297091;generic dataset
45a3a167-6d77-4a9e-a98a-1e0d34b9e900;Nutzung - Strom-Wärmepumpe Wasser-Wasser (7/55);Usage - electric heat pump water-water (7/55);'Building service engineering' / 'Use' / 'Use heat generator';;;;;0.177341888815336;8.2e-15;1.73428906165e-05;0.000209240218607;4.15639747817e-05;generic dataset
44e4bf51-8e23-47e3-8f5e-5243525bb32e;End of life - Holzwerkstoffe in MVA;Wood products incineration in municipal solid waste plant;'End of Life' / 'Generic' / 'Wood';;;;;1.80182633187547;5e-16;3.94310631763e-05;0.0006497959430312;0.0001640041422485;generic dataset
44e4bf51-8e23-47e3-8f5e-5243525bb32e;End of life - Holzwerkstoffe in MVA;Wood products incineration in municipal solid waste plant;'End of Life' / 'Generic' / 'Wood';;;;;-0.523198717399035;-1.19e-14;-4.49220103134e-05;-0.0004397591992326;-8.32739981068e-05;generic dataset
44c57da1-24ce-488d-b4f9-283fa603cc9d;Perlite 0-3;Perlites 0-3;'Mineral building products' / 'Concrete aggregates' / 'Perlite';;;;;0.558288696316328;1.2e-15;7.18257482886e-05;0.0005579016987963;0.0001037098056984;generic dataset
446ba42f-701c-4bf5-84cb-9b0963860182;Lithiumbromid;Lithium bromide;'Building service engineering' / 'Air conditioning and ventilation' / 'Refrigerants';;;;;8.0813875383552;1.809987e-10;0.0017703594984978;0.023928721637122;0.0031354453095277;generic dataset
446ba42f-701c-4bf5-84cb-9b0963860182;Lithiumbromid;Lithium bromide;'Building service engineering' / 'Air conditioning and ventilation' / 'Refrigerants';;;;;9.23499461581219;1.81005e-10;0.0020448747960452;0.0258333534708741;0.003350692773297;generic dataset
4411ce80-6a9a-4088-94bb-426805d99bfc;Flüssiggastank 6400 l/2,9 t (unterirdisch);Liquefied gas tank 6400 l / 2,9 t (underground);'Building service engineering' / 'Heating' / 'Storage';;;;;3839.01519191436;7.774e-12;1.09327559485699;8.0830528968074;0.80688590734446;generic dataset
4411ce80-6a9a-4088-94bb-426805d99bfc;Flüssiggastank 6400 l/2,9 t (unterirdisch);Liquefied gas tank 6400 l / 2,9 t (underground);'Building service engineering' / 'Heating' / 'Storage';;;;;13.8722607760322;2.247e-13;-0.0196830182949266;0.0577735324023725;0.0143609137426908;generic dataset
4411ce80-6a9a-4088-94bb-426805d99bfc;Flüssiggastank 6400 l/2,9 t (unterirdisch);Liquefied gas tank 6400 l / 2,9 t (underground);'Building service engineering' / 'Heating' / 'Storage';;;;;97.3728264111302;7.13e-14;0.0015386271542973;0.0179115964344451;0.0031937547327087;generic dataset
4411ce80-6a9a-4088-94bb-426805d99bfc;Flüssiggastank 6400 l/2,9 t (unterirdisch);Liquefied gas tank 6400 l / 2,9 t (underground);'Building service engineering' / 'Heating' / 'Storage';;;;;-2159.9079314717;1.19602e-11;-0.641082834229403;-4.91700644685472;-0.412454289610874;generic dataset
