Specific_UUID,Generic_UUID,Specific_Name,Generic_Name,Final_Score
42ec47a7-c7f9-4107-b8f9-163d1f3e080f,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
42ec47a7-c7f9-4107-b8f9-163d1f3e080f,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
c6bbe2fe-f017-4b08-83e6-31f18a668f56,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
c6bbe2fe-f017-4b08-83e6-31f18a668f56,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
c6bbe2fe-f017-4b08-83e6-31f18a668f56,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
ec71a95e-293d-411b-b07e-d9c0ddc42010,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
ec71a95e-293d-411b-b07e-d9c0ddc42010,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
ec71a95e-293d-411b-b07e-d9c0ddc42010,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
1d1328cd-febf-4482-bb6e-c31d2320d4d5,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
1d1328cd-febf-4482-bb6e-c31d2320d4d5,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
1d1328cd-febf-4482-bb6e-c31d2320d4d5,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
ddf07d72-db88-40a8-a596-219fd0a78e98,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
ddf07d72-db88-40a8-a596-219fd0a78e98,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
ddf07d72-db88-40a8-a596-219fd0a78e98,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
46967faf-1e23-4d62-9150-6cb97a2aa851,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
46967faf-1e23-4d62-9150-6cb97a2aa851,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
46967faf-1e23-4d62-9150-6cb97a2aa851,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
32c5e422-1d17-4843-8191-52a6ef4d8ea8,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
32c5e422-1d17-4843-8191-52a6ef4d8ea8,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
32c5e422-1d17-4843-8191-52a6ef4d8ea8,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
af40e3e1-2e80-4096-b609-250c0ac380d4,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
af40e3e1-2e80-4096-b609-250c0ac380d4,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
af40e3e1-2e80-4096-b609-250c0ac380d4,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
b8a228a3-5375-42c9-b34c-5851cb25dbe2,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
b8a228a3-5375-42c9-b34c-5851cb25dbe2,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
b8a228a3-5375-42c9-b34c-5851cb25dbe2,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
e5f8436f-25b3-42ea-b5a1-f038f2fa1111,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
e5f8436f-25b3-42ea-b5a1-f038f2fa1111,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
e5f8436f-25b3-42ea-b5a1-f038f2fa1111,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
ebc71fe4-f898-494b-85f2-c2aff51251ca,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
ebc71fe4-f898-494b-85f2-c2aff51251ca,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
ebc71fe4-f898-494b-85f2-c2aff51251ca,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
878e1484-d3fe-414b-b4fc-282f965b760f,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
878e1484-d3fe-414b-b4fc-282f965b760f,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
878e1484-d3fe-414b-b4fc-282f965b760f,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
7f4b505d-f40a-4a46-b996-26213082e69f,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
7f4b505d-f40a-4a46-b996-26213082e69f,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
7f4b505d-f40a-4a46-b996-26213082e69f,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
5e3ff57a-d51f-479a-8f77-6a080f677758,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
5e3ff57a-d51f-479a-8f77-6a080f677758,3470c523-ffcd-48df-93ff-dedfde86572a,,"Precast concrete slab, wall, 40cm",0.511
5e3ff57a-d51f-479a-8f77-6a080f677758,b1ea7c10-4471-4485-95bf-7dc0a00025b6,,Kraft paper,0.507
d2d1b29f-8dd7-4373-ab2a-de57acd51e72,f4d930b5-ebe0-4b12-9de0-e2ee391be029,FASBA e.V. Baustroh 100 kg/m³,Excavator 100kW,0.571
d2d1b29f-8dd7-4373-ab2a-de57acd51e72,393f494d-8738-4330-aa5e-1652bb29b574,FASBA e.V. Baustroh 100 kg/m³,Wood fibre board (wet process),0.568
d2d1b29f-8dd7-4373-ab2a-de57acd51e72,cf963fcb-0e03-48c0-b501-ad0d1e3c22c0,FASBA e.V. Baustroh 100 kg/m³,Cellulose fibre board,0.559
68eee44a-6007-4440-860a-a25a9ccea7d4,826fa2c2-c691-4844-83d3-aea0e8a54bcd,,Roof tile,0.552
